Equipo,Goles,Asist,Penaltis,Tarjetas amarillas,Tarjetas Rojas
Alaves,29,20,6,93,4
Athletic Club,40,34,3,90,4
Atletico Madrid,63,45,4,111,7
Barcelona,68,52,6,97,5
Betis,60,45,6,87,6
Cadiz,35,21,3,105,3
Celta Vigo,43,29,3,87,3
Elche,39,29,1,104,6
Espanyol,39,25,5,99,7
Getafe,31,26,3,121,8
Granada,43,28,3,105,4
Levante,51,34,8,109,6
Mallorca,33,23,6,114,7
Osasuna,37,23,6,84,2
Rayo Vallecano,38,28,4,101,3
Real Madrid,80,59,8,76,0
Real Sociedad,40,22,9,77,4
Sevilla,51,40,2,97,4
Valencia,45,30,8,134,8
Villarreal,62,51,5,81,1
