,,,,,,,,,
Equipo,,Rendimiento,,,,,,,
AlavÃ©s,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR
Athletic Club,38,29,20,49,23,6,7,93,4
AtlÃ©tico Madrid,38,40,34,74,37,3,7,90,4
Barcelona,38,63,45,108,59,4,5,111,7
Betis,38,68,52,120,62,6,7,97,5
CÃ¡diz,38,60,45,105,54,6,6,87,6
Celta Vigo,38,35,21,56,32,3,6,105,3
Elche,38,43,29,72,40,3,6,87,3
Espanyol,38,39,29,68,38,1,1,104,6
Getafe,38,39,25,64,34,5,5,99,7
Granada,38,31,26,57,28,3,5,121,8
Levante,38,43,28,71,40,3,5,105,4
Mallorca,38,51,34,85,43,8,13,109,6
Osasuna,38,33,23,56,27,6,7,114,7
Rayo Vallecano,38,37,23,60,31,6,8,84,2
Real Madrid,38,38,28,66,34,4,4,101,3
Real Sociedad,38,80,59,139,72,8,12,76,0
Sevilla,38,40,22,62,31,9,10,77,4
Valencia,38,51,40,91,49,2,3,97,4
Villarreal,38,45,30,75,37,8,9,134,8
,38,62,51,113,57,5,6,81,1
